Cliente,Servicio,Equipo,Fecha,Tecnico,Tecnico2,Presupuesto,Estado,Observacion
IRIS,GC-2010 PROBLEMAS DE LA LLAMA Y TIENE RUIDO,GC,2026-04-20,Junior,,,REALIZADO,GC-2010 PROBLEMAS DE LA LLAMA Y TIENE RUIDO
PROSALUD,LLEVAR TUBERIA PARA  HPLC Y CONSUMIBLES,HPLC,2026-04-21,Fernando,,,REALIZADO,LLEVAR TUBERIA PARA  HPLC Y CONSUMIBLES
ANALITICA,PROBLEMAS DEL MONITOR NO ENCIENDE,DIGESTOR,2026-04-21,Carlos,,,REALIZADO,PROBLEMAS DEL MONITOR NO ENCIENDE
ANALITICA,PROBLEMAS DEL MONITOR NO ENCIENDE,DIGESTOR,2026-04-21,Junior,,,REALIZADO,PROBLEMAS DEL MONITOR NO ENCIENDE
VILLA MORRA,TOMA DE TRANSFORMADOR,TOMA PCB,2026-04-22,José,,,REALIZADO,TOMA DE TRANSFORMADOR
GALMEDIC,MANT PREVENTIVO Y CORRECTIVO,HPLC,2026-04-22,Fernando,,,REALIZADO,MANT PREVENTIVO Y CORRECTIVO
DUTRIEC,CCEQ007 PERDIDA EN LA BOMBA ING JESSICA JARA,HPLC,2026-04-22,Carlos,,,REALIZADO,CCEQ007 PERDIDA EN LA BOMBA ING JESSICA JARA
GUAYAKI,BALANZA NO IMPRIME,IMPRESORA,2026-04-22,Junior,,,REALIZADO,BALANZA NO IMPRIME
GUAYAKI,LLEVAR IMPRESORA BALANZA GUAYAKI,HPLC,2026-04-23,José,,,REALIZADO,LLEVAR IMPRESORA BALANZA GUAYAKI
QUIMFA,HPLC 30: PROBLEMAS DE CONEXION,HPLC,2026-04-23,Fernando,,,REALIZADO,HPLC 30: PROBLEMAS DE CONEXION
QUIMFA,HPLC 16: CALIF VIVIANA SABATE,HPLC,2026-04-23,Zulma,,,REALIZADO,HPLC 16: CALIF VIVIANA SABATE
HTAL POLICE,LLEVAR REPUESTO PARA LA LAMP DE HENDIDURA,RODENSTOCK,2026-04-23,Carlos,,,REALIZADO,LLEVAR REPUESTO PARA LA LAMP DE HENDIDURA
SCAVONE,HPLC 28: PROBLEMAS EN LA DETECCION,HPLC,2026-04-23,Junior,,,REALIZADO,HPLC 28: PROBLEMAS EN LA DETECCION
QUIMFA,HPLC 16: CALIF VIVIANA SABATE,HPLC,2026-04-24,Zulma,,,REALIZADO,HPLC 16: CALIF VIVIANA SABATE
IRIS,INSTALACIÓN DEL COMPRESOR,COMPRESOR,2026-04-24,Carlos,,,REALIZADO,INSTALACIÓN DEL COMPRESOR
IRIS,INSTALACIÓN DEL COMPRESOR,COMPRESOR,2026-04-24,José,,,REALIZADO,INSTALACIÓN DEL COMPRESOR
EST GUARANI,2 TOMA DE MUESTRA (A CONFIRMAR),TOMA PCB,2026-04-24,Adán,,,REALIZADO,2 TOMA DE MUESTRA (A CONFIRMAR)
SENAVE,RELEVAMIENTO DE EQUIPOS AA-7000/HPLC/LCMS/GCMS,VARIOS,2026-04-24,Jaime/Fernando,,,REALIZADO,RELEVAMIENTO DE EQUIPOS AA-7000/HPLC/LCMS/GCMS
SENACSA,PROBLEMAS CON EL AA-7800,AA,2026-04-24,Jaime/Fernando,,,REALIZADO,PROBLEMAS CON EL AA-7800
CHDS,MANT PREVENTIVO 3 HPLC Y UN GC,VARIOS,2026-04-27,Fernando/Junior,,,REALIZADO,MANT PREVENTIVO 3 HPLC Y UN GC
SIKA,IR: MANTENIMIENTO Y CALIF,IR,2026-04-27,Jaime/Zulma,,,REALIZADO,IR: MANTENIMIENTO Y CALIF
TECNOMYL,MANTENIMIENTO HPLC 10,HPLC,2026-04-27,José,,,REALIZADO,MANTENIMIENTO HPLC 10
CEMIT,CALIF 1 HPLC,HPLC,2026-04-28,Zulma,,,REALIZADO,CALIF 1 HPLC
CHDS,MANT PREVENTIVO 3 HPLC Y UN GC,VARIOS,2026-04-28,Junior,,,REALIZADO,MANT PREVENTIVO 3 HPLC Y UN GC
CEMIT,CALIF GC,GC,2026-04-28,Adán,,,REALIZADO,CALIF GC
CEMIT,CALIF AA,AA,2026-04-28,Jaime,,,REALIZADO,CALIF AA
QUIMFA,HPLC 30 CON PROBLEMAS DE CONEXION VIVIANA,HPLC,2026-04-28,José,,,REALIZADO,HPLC 30 CON PROBLEMAS DE CONEXION VIVIANA
CHDS,MANT PREVENTIVO 3 HPLC Y UN GC,VARIOS,2026-04-28,Fernando,,,REALIZADO,MANT PREVENTIVO 3 HPLC Y UN GC
CEMIT,CALIF 1 HPLC,HPLC,2026-04-29,Zulma,,,REALIZADO,CALIF 1 HPLC
CHDS,MANT PREVENTIVO 3 HPLC Y UN GC,VARIOS,2026-04-29,Junior,,,REALIZADO,MANT PREVENTIVO 3 HPLC Y UN GC
CEMIT,CALIF GC,GC,2026-04-29,Adán,,,REALIZADO,CALIF GC
CEMIT,CALIF AA,AA,2026-04-29,Jaime,,,REALIZADO,CALIF AA
FUSQUIM,MANT PREVENTIVO EQ 473 Y 136,HPLC,2026-04-29,José,,,REALIZADO,MANT PREVENTIVO EQ 473 Y 136
CHDS,MANT PREVENTIVO 3 HPLC Y UN GC,VARIOS,2026-04-29,Fernando,,,REALIZADO,MANT PREVENTIVO 3 HPLC Y UN GC
CEMIT,CALIF HPLC,HPLC,2026-04-30,Zulma/Josias,,,REALIZADO,CALIF HPLC
CHDS,MANT PREVENTIVO 3 HPLC Y UN GC,VARIOS,2026-04-30,Junior,,,REALIZADO,MANT PREVENTIVO 3 HPLC Y UN GC
ANALITICA,LCMS 8060 PROBLEMAS CON EL TUNNING,LCMS,2026-04-30,Adán,,,REALIZADO,LCMS 8060 PROBLEMAS CON EL TUNNING
QUIMFA,HPLC 28: PROBLEMAS CON EL VENTILADOR,HPLC,2026-04-30,Jaime,,,REALIZADO,HPLC 28: PROBLEMAS CON EL VENTILADOR
QUIMFA,"MP EN ONCOLOGIA 2 HPLC, 1 UV LIZ SOSA",VARIOS,2026-04-30,Jaime,,,REALIZADO,"MP EN ONCOLOGIA 2 HPLC, 1 UV LIZ SOSA"
QUIMFA,"MP EN ONCOLOGIA 2 HPLC, 1 UV LIZ SOSA",VARIOS,2026-04-30,José,,,REALIZADO,"MP EN ONCOLOGIA 2 HPLC, 1 UV LIZ SOSA"
CHDS,MANT PREVENTIVO 3 HPLC Y UN GC,VARIOS,2026-04-30,Fernando,,,REALIZADO,MANT PREVENTIVO 3 HPLC Y UN GC
FERIADO,,,2026-05-01,,,,REALIZADO,
ANALITICA,CALIF EQUIPOS,HPLC,2026-05-04,Zulma,,,REALIZADO,CALIF EQUIPOS
SHIMADZU,CAPACITACION IR EN SAO PAULO,IR,2026-05-04,Josias/Fernando,,,REALIZADO,CAPACITACION IR EN SAO PAULO
TECNOMYL,INSTALACION DE EQUIPOS 2 HPLC Y 2 GC-2050,VARIOS,2026-05-05,José,,,REALIZADO,"QUEDA PENDIENTE CONECTAR TUBERIAS, INSTALAR SOFTWARE Y CALIFICAR"
TECNOMYL,INSTALACION DE EQUIPOS 2 HPLC Y 2 GC-2050,VARIOS,2026-05-05,Adán,,,REALIZADO,INSTALACION DE EQUIPOS 2 HPLC Y 2 GC-2050
TECNOMYL,INSTALACION DE EQUIPOS 2 HPLC Y 2 GC-2050,VARIOS,2026-05-05,Jaime,,,REALIZADO,INSTALACION DE EQUIPOS 2 HPLC Y 2 GC-2050
SHIMADZU,CAPACITACION IR EN SAO PAULO,IR,2026-05-05,Josias/Fernando,,,REALIZADO,CAPACITACION IR EN SAO PAULO
TECNOMYL,CALIF EQUIPOS 2 GC,GC,2026-05-06,Adán/Jaime,,,REALIZADO,CALIF EQUIPOS 2 GC
TECNOMYL,INSTALACION DE EQUIPOS 2 HPLC Y 2 GC-2050,VARIOS,2026-05-06,Jaime,,,REALIZADO,INSTALACION DE EQUIPOS 2 HPLC Y 2 GC-2050
SHIMADZU,CAPACITACION IR EN SAO PAULO,IR,2026-05-06,Josias/Fernando,,,REALIZADO,CAPACITACION IR EN SAO PAULO
TECNOMYL,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR",VARIOS,2026-05-07,José,,,REALIZADO,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR"
BAX PHARMA,CAMBIO DEL HPLV SENSOR,HPLC,2026-05-07,Jaime,,,REALIZADO,CAMBIO DEL HPLV SENSOR
TECNOMYL,CALIF EQUIPOS 2 HPLC,HPLC,2026-05-07,Zulma,,,REALIZADO,CALIF EQUIPOS 2 HPLC
TECNOMYL,CALIF EQUIPOS 2 GC,GC,2026-05-07,Adán,,,REALIZADO,CALIF EQUIPOS 2 GC
SHIMADZU,CAPACITACION IR EN SAO PAULO,IR,2026-05-07,Josias/Fernando,,,REALIZADO,CAPACITACION IR EN SAO PAULO
QUIMFA,HPLC 32 PROBLEMAS DE REPETIBILIDAD,HPLC,2026-05-07,Jaime,,,REALIZADO,HPLC 32 PROBLEMAS DE REPETIBILIDAD
SHIMADZU,CAPACITACION IR EN SAO PAULO,IR,2026-05-08,Josias/Fernando,,,REALIZADO,CAPACITACION IR EN SAO PAULO
TECNOMYL,CALIF EQUIPOS 2 HPLC,HPLC,2026-05-08,Zulma,,,REALIZADO,CALIF EQUIPOS 2 HPLC
TECNOMYL,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR",VARIOS,2026-05-08,Jaime,,,REALIZADO,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR"
SUMI,CAPACITACION POSTVENTA - VENTAS,VARIOS,2026-05-09,TODOS,,,REALIZADO,CAPACITACION CON EL AREA COMERCIAL DE SUMI
ETICOS,MP 2 EQUIPOS  HPLC  IYDHPL11 Y  IYDHPL12,HPLC,2026-05-11,Fernando,,,REALIZADO,MP 2 EQUIPOS  HPLC  IYDHPL11 Y  IYDHPL12
BAX PHARMA,REVISION HPLC QUE SE LE CAMBIO LA PLACA,HPLC,2026-05-11,Fernando,,,REALIZADO,REVISION HPLC QUE SE LE CAMBIO LA PLACA
LAS PALMERAS,TOMA DE MUESTRA,TOMA PCB,2026-05-11,José,,,REALIZADO,TOMA DE MUESTRA
TECNOMYL,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR",VARIOS,2026-05-11,Carlos,,,REALIZADO,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR"
ETICOS,MP 2 EQUIPOS HPLC  IYDHPL11 Y  IYDHPL12,HPLC,2026-05-12,Fernando,,,REALIZADO,
HTAL ITAUGUÁ,REVISAR EQUIPO RAYOS X MOBILE SE APAGÓ,RAYOS X,2026-05-12,Carlos,,,REALIZADO,
TECNOMYL,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR",VARIOS,2026-05-12,José,,,REALIZADO,4TO
FUSQUIM,MP 473,HPLC,2026-05-13,Fernando,,,REALIZADO,
FUSQUIM,UV-1700 RETIRO PARA VERIFICACION DE PLACA *,UV-1700,2026-05-13,Fernando,,,REALIZADO,
TECNOMYL,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR",VARIOS,2026-05-13,José,,,REALIZADO,5TO
QUIMFA,RUIDO EN EL MOTOR,TOC,2026-05-13,Josías,,,REALIZADO,
INPET,RETIRO DE COMPRESOR,COMPRESOR,2026-05-13,Adan,,,REALIZADO,
DUTRIEC,DG EQ 021 ERROR DE LA AGUJA AL INYECTAR,HPLC,2026-05-18,Fernando,,,REALIZADO,
HTAL HOHENAU,PROBLEMAS EQUIPO FLEXAVISION,RAYOS X,2026-05-18,Carlos,,,REALIZADO,
TECNOMYL,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR",VARIOS,2026-05-18,José,,,REALIZADO,6.0
COMFAR,MP UN UV-1900,UV,2026-05-18,Fernando,,,REALIZADO,
COMFAR,CALIF UV-1900 Y SOFTWARE,UV,2026-05-19,Zulma,,,REALIZADO,
HTAL HOHENAU,PROBLEMAS EQUIPO FLEXAVISION,RAYOS X,2026-05-19,Carlos,,,REALIZADO,
TECNOMYL,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR",VARIOS,2026-05-19,José,,,REALIZADO,8.0
ANALITICA,MP 2 GC,VARIOS,2026-05-19,Josías,,,REALIZADO,
GALENO,PROBLEMAS DE REPETIBILIDAD LIC NANCY JARA,HPLC,2026-05-19,Fernando,,,REALIZADO,
GALENO,LLEVAR IR con Reporte técnico,IR,2026-05-19,Fernando,,,REALIZADO,
GALENO,RELEVAMIENTO KARL FISSHER,,2026-05-19,Fernando,,,REALIZADO,
QUIMFA,HPLC 33: FUGA DE LIQUIDO,HPLC,2026-05-20,Fernando,,,REALIZADO,
TECNOMYL,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR",VARIOS,2026-05-20,José,,,REALIZADO,9.0
ANALITICA,CALIF GC 02,GC,2026-05-20,Zulma,,,REALIZADO,
ANALITICA,INSTALAR EQUIPOS 2 AA Y DIGESTOR,VARIOS,2026-05-21,Josías/Carlos,,,REALIZADO,
DUTRIEC,LLEVAR REPUESTO DE VACCUM PUMP Y CAMBIAR,HPLC,2026-05-21,Carlos,,,REALIZADO,
DUTRIEC,RELEVAMIENTO EQUIPOS CC-EQ-006 Y CC-EQ-054 PARA MP SILVANA MENDEZ,HPLC,2026-05-21,Carlos,,,REALIZADO,
DUTRIEC,RELEVAMIENTO EQUIPOS DE ERNA GONZALEZ,HPLC,2026-05-21,Carlos,,,REALIZADO,
SCAVONE,HPLC PANDA039:,HPLC,2026-05-21,Fernando,,,REALIZADO,
FARMACO,HPLC 3 NO TIENE REPETIBILIDAD,HPLC,2026-05-21,Fernando,,,REALIZADO,
TECNOMYL,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR",VARIOS,2026-05-21,José,,,REALIZADO,
TECNOMYL,INSTALACIÓN EQUIPO GC,GC,2026-05-21,Adán,,,REALIZADO,
ANALITICA,CALIF GC-02,GC,2026-05-21,Zulma,,,REALIZADO,
TECNOMYL,"MP 9 HPLC, 2 BOMBAS LC Y 1 GC CYNTHIA AGUILAR",VARIOS,2026-05-22,José,,,REALIZADO,
TORNERIA,LLEVAR EL REGULADOR DE ACETILENO DE TIMAC,REGULADOR,2026-05-22,Jaime,,,REALIZADO,
QUIMFA,TOC NO SE MUEVE EL BRAZO INYECTOR Y TIENE RUIDO,VARIOS,2026-05-22,Jaime,,,REALIZADO,
QUIMFA,HPLC 1: REVISION DEL SENSOR DEL GAS,HPLC,2026-05-22,Jaime,,,REALIZADO,
FARMACO,HPLC 3 PROBLEMAS DE REPETIBILIDAD,HPLC,2026-05-22,Jaime,,,REALIZADO,
TECNOMYL,INSTALACION GC Y CALIFICACION,GC,2026-05-22,Adán,,,REALIZADO,
ANALITICA,INSTALAR EQUIPOS 2 AA Y DIGESTOR,VARIOS,2026-05-22,Josías,,,REALIZADO,
TECNOMYL,MP DE 1 GC CYNTHIA AGUILAR,VARIOS,2026-05-22,Fernando,,,REALIZADO,
CAPACITACION COMERCIAL-POSTVENTA,,,2026-05-23,,,,REALIZADO,
PROSALUD,MP DE HPLC DEA-HPLC.008 ANABELLA RIENZI,HPLC,2026-05-25,José,,,REALIZADO,
INPASA,SAN PEDRO: MANT PREVENTIVO 1 HPLC Y UN GC,HPLC/ GC,2026-05-25,Adan/Jaime,,,REALIZADO,
GALENO,MP 2 DISOLUTORES CON RPTO INCLUIDO HENRY FRETEZ,DISOLUTOR,2026-05-25,Junior,,,REALIZADO,
INTN,"RELEVAMIENTO EQUIPOS AA-6200, AA-7800",AA,2026-05-25,Fernando/Claudio,,,REALIZADO,
FARMACO,ERROR DE MEMORY,BALANZA,2026-05-25,Fernando/Claudio,,,REALIZADO,
TALLER,REVISION UV-1700 DE FUSQUIM,UV,2026-05-25,Fernando/Claudio,,,REALIZADO,
PROSALUD,CALIFICACION DE 1 HPLC DE ANABELLA RIENZI,HPLC,2026-05-26,Zulma,,,REALIZADO,
INPASA,SAN PEDRO: MANT PREVENTIVO 1 HPLC Y UN GC,HPLC/ GC,2026-05-26,Adan/Jaime,,,REALIZADO,
PROSALUD,"MP EQUIPOS HPLC 089,090,137 Y 138 NESTOR OVELAR",HPLC,2026-05-26,José,,,REALIZADO,
PROSALUD,"MP EQUIPOS HPLC 089,090,137 Y 138 NESTOR OVELAR",HPLC,2026-05-26,Fernando/Claudio,,,REALIZADO,
DUTRIEC,CAMBIO DE REPUESTO DEL HPLC DG EQ 021,HPLC,2026-05-26,Junior,,,REALIZADO,
ANALITICA,INSTALAR EL AA Y HACER MP,AA,2026-05-26,Josías,,,REALIZADO,
PROSALUD,CALIFICACION DE 5 EQUIPOS,HPLC,2026-05-27,Zulma,,,REALIZADO,
ANALITICA,INSTALACION DE 2 UPS (LCMS Y AA),UPS,2026-05-27,Junior/Claudio,,,REALIZADO,
GUAYAKI,REVISION DE LA BALANZA NUEVA/ LLEVAR TRANSFORMADOR CON FACTURA,BALANZA,2026-05-27,Junior,,,REALIZADO,
FACEN,REVISION EQ SONICADOR PROF MICHELLE GERALDINE (LLEVAR FACTURA),BOYN,2026-05-27,Carlos,,,REALIZADO,
INPASA,SAN PEDRO: MANT PREVENTIVO 1 HPLC Y UN GC,HPLC/ GC,2026-05-27,Adan/Jaime,,,REALIZADO,
PROSALUD,"MP EQUIPOS HPLC 089,090,137 Y 138 NESTOR OVELAR",HPLC,2026-05-27,José,,,REALIZADO,
PROSALUD,"MP EQUIPOS HPLC 089,090,137 Y 138 NESTOR OVELAR",HPLC,2026-05-27,Fernando,,,REALIZADO,
PROSALUD,CALIFICACION DE 5 EQUIPOS,HPLC,2026-05-28,Zulma,,,REALIZADO,
INPASA,SAN PEDRO: MANT PREVENTIVO 1 HPLC Y UN GC,HPLC/ GC,2026-05-28,Adan/Jaime,,,REALIZADO,
ANALITICA,INSTALACION UPS EN METALES,UPS,2026-05-28,Junior,,,REALIZADO,
QUIMFA,HPLC 14: PROBLEMAS DE LA AGUJA FATIMA QUINTANA,HPLC,2026-05-28,Junior,,,REALIZADO,
PROSALUD,"MP EQUIPOS HPLC 089,090,137 Y 138 NESTOR OVELAR",HPLC,2026-05-28,José,,,REALIZADO,
ANALITICA,BALANZA METALES NO ENCIENDE,BALANZA,2026-05-28,Fernando,,,REALIZADO,
ANALITICA,MP GC 03,GC,2026-05-28,Fernando,,,REALIZADO,
INPASA,SAN PEDRO: MANT PREVENTIVO 1 HPLC Y UN GC,HPLC/ GC,2026-05-29,Adan/Jaime,,,REALIZADO,
PROSALUD,CALIFICACION DE 5 EQUIPOS,HPLC,2026-05-29,Zulma,,,REALIZADO,
PHARMA IND,RELEVAMIENTO Y DIAGNOSTICO 1 EQ HPLC EMILIO ESTIGARRIBIA,HPLC,2026-05-29,Fernando,,,REALIZADO,
ETICOS,GC IYDCRO03 NO LEVANTA PRESIÓN,GC,2026-05-29,Carlos,,,REALIZADO,
PROSALUD,"MP EQUIPOS HPLC 089,090,137 Y 138 NESTOR OVELAR",HPLC,2026-05-29,José,,,REALIZADO,
ANALITICA,UHPL3 PROBLEMAS DEL INYECTOR,HPLC,2026-05-29,Junior,,,REALIZADO,
GUAYAKI,MANT PREVENTIVO Y CALIF DEL TOC,TOC,2026-06-01,Jaime,,"S07831, S07979 Y S07832",REALIZADO,
PROSALUD,CALIFICACION DE 5 EQUIPOS,HPLC,2026-06-01,Zulma,,,REALIZADO,
SCAVONE,INSTALACION SOFTWARE UV PROBE CELSO CONSOLE,SOFTWARE,2026-06-01,,,,REALIZADO,
GRAMON,REVISION EQUIPO DUROMETRO NO SE CONECTA CON LA IMPRESORA,DUROMETRO,2026-06-01,Junior,,,REALIZADO,
GRAMON,DISOLUTOR LLEVAR RTO RUBEN CORONEL (LLEVAR FACTURA),DISOLUTOR,2026-06-01,Junior,,"S05375, S08709",REALIZADO,
ANALITICA,"HPLC02, UFLC01 Y UFLC02",HPLC,2026-06-01,Carlos/Claudio,,,REALIZADO,QUEDA PENDIENTE UFLC01 Y UFLC02 (FALTA REPUESTOS)
BAX PHARMA,MP DE UN HPLC I SERIES LCC 5 O LCC 6,HPLC,2026-06-01,José,,S06587,REALIZADO,
GUAYAKI,MANT PREVENTIVO Y CALIF DEL TOC,TOC,2026-06-02,Jaime/ Carlos Noguera,,,REALIZADO,
TECNOMYL,CALIFICACION DE 2 EQUIPOS GC,GC,2026-06-02,Adán,,,REALIZADO,
GALMEDIC,ERROR EN EL IR (PENDIENTE APROBACION PRESUPUESTO),IR,2026-06-02,Fernando,,S08903,REALIZADO,
SUMI,TALLER: REVISAR UV 1700 FUSQUIM E IMPRESORA DE FARMACO,VARIOS,2026-06-02,Fernando,,,REALIZADO,
GRAMON,MP 3 HPLC,HPLC,2026-06-02,Junior/ Claudio,,S07892 y S07896,REALIZADO,
SUMI,PREPARACION COMPUTADORAS DE INDUFAR Y COOP VOLENDAM,VARIOS,2026-06-02,Carlos,,,REALIZADO,
QUIMFA,"MP HPLC 19, 24, 22 Y 23 (DEBE TENER FECHA DE MAYO)",HPLC,2026-06-02,José,,S08246,REALIZADO,
ETICOS,GC IYDCRO03: PROBLEMAS DE FLUJO,GC,2026-06-03,Josías,,,REALIZADO,
BAX PHARMA,CALIF DE UN HPLC I SERIES LCC 5 O LCC 6,HPLC,2026-06-03,Zulma,,,REALIZADO,
GRAMON,MP 3 HPLC,HPLC,2026-06-03,Junior,,,REALIZADO,
AKTRA,MANT PREVENTIVO E-LAB57 JESSICA SAMANIEGO,HPLC,2026-06-03,Carlos,,"S08915, S08919",REALIZADO,
QUIMFA,"MP HPLC 19, 24, 22 Y 23 (DEBE TENER FECHA DE MAYO)",HPLC,2026-06-03,José,,,REALIZADO,
LAFASA,CALIF 1  UV,UV,2026-06-04,Zulma,,S08891 Y S08950,REALIZADO,
SCAVONE,HPLC 31: NO DETECTA LOS PICOS,HPLC,2026-06-04,Fernando/ Claudio,,,REALIZADO,
AKTRA,CONTINUACION DE MP AKTRA,HPLC,2026-06-04,Jaime/ C. Noguera,,S08915,REALIZADO,
COOP VOLENDAM,INSTALACION DE FLAT PANEL EN COLONIA (A CONFIRMAR FECHA),FLAT PANNEL,2026-06-04,Carlos,,,REALIZADO,
QUIMFA,"MP HPLC 19, 24, 22 Y 23 (DEBE TENER FECHA DE MAYO)",HPLC,2026-06-04,José,,,REALIZADO,
PROSALUD,HPLC.089 BURBUJAS EN LA CELDA DE FLUJO,HPLC,2026-06-05,Jaime/C. Noguera,,,REALIZADO,
AKTRA,CALIFICACION EQUIPO E-LAB57,HPLC,2026-06-05,Zulma,,,REALIZADO,
TALLER,REVISAR AA DE ANALITICA  Y EQUIPOS DEL TALLER,HPLC,2026-06-05,Junior,,,REALIZADO,
COOP VOLENDAM,INSTALACION DE FLAT PANEL EN COLONIA (A CONFIRMAR FECHA),FLAT PANNEL,2026-06-05,Carlos,,,REALIZADO,
QUIMFA,"MP HPLC 19, 24, 22 Y 23 (DEBE TENER FECHA DE MAYO)",HPLC,2026-06-05,José,,,REALIZADO,
IRIS,GC 2010 Y 2030 RUIDO EN LA LINEA DE BASE,GC,2026-06-08,Jaime,,,REALIZADO,
QUIMFA,INCONVENIENTES,RAYOS X,2026-06-08,Carlos,,,REALIZADO,
ANALITICA,MP DISOLUTOR BOYN,DISOLUTOR,2026-06-08,José,,,REALIZADO,
ANALITICA,MP ESTUFA,ESTUFA,2026-06-08,José,,,REALIZADO,
HTAL DE CLINICAS,DIAGNOSTICO DE FALLA RAYOS X,RAYOS X,2026-06-09,Carlos/ Adán,,,REALIZADO,
VILLA ELISA,TOMA DE UN 1 TRANSFORMADOR  15:00,TOMA PCB,2026-06-09,José,,,REALIZADO,
INTN,RELEVAMIENTO EXTRACTOR DE CAMPANA CON EL HERRERO,BOYN,2026-06-09,Jaime,,,REALIZADO,
ETICOS,AGUJA ESTA DOBLADA HPLC IYDHPL08,HPLC,2026-06-09,Jaime,,,REALIZADO,
QUIMFA,DIAGNOSTICO DE FALLA GC,GC,2026-06-09,Jaime,,,REALIZADO,
SCAVONE,HPLC 31: NO TIENE REPETIBILIDAD,HPLC,2026-06-09,José,,,REALIZADO,
ANALITICA,MP DIGESTOR CEM,DIGESTOR,2026-06-09,Junior,,,REALIZADO,
DIGESA,RELEVAMIENTO PARA UN EQUIPO AA-7000,AA,2026-06-10,Josías/Junior,,,REALIZADO,
INTN,RELEVAMIENTO EXTRACTOR DE CAMPANA CON EL HERRERO,BOYN,2026-06-10,Jaime/ Claudio,,,REALIZADO,
ETICOS,LLEVAR REPUESTOS PARA EQUIPOS DE JESSICA PAVON,HPLC,2026-06-10,Jaime/ Claudio,,S09035,REALIZADO,
SCAVONE,HPLC 31: DIAGNOSTICO DE FALLA,HPLC,2026-06-10,José,,,REALIZADO,
PHARMA INDUSTRIES,LLEVAR LA CELDA DESTRANCADA,,2026-06-10,Fernando,,S09143,REALIZADO,
TALLER,VER  BALANZA DE FARMACO,BALANZA,2026-06-10,Junior,,,REALIZADO,
HTAL DE ITAUGUA,INSTALAR REPUESTOS PARA EL EQUIPO RAYOS X,RAYOS X,2026-06-10,Carlos/Adán,,S09146,REALIZADO,
FUSQUIM,MP DE 1 TOC Y CALIF 11:00 AM,TOC,2026-06-11,Jaime/ Claudio,,"S08153, S08150 Y S08151",REALIZADO,
FUSQUIM,ENTREGAR UV-1700 CON SU IMPRESORA,UV,2026-06-11,Jaime/ Claudio,,,REALIZADO,
GUAYAKI,REVISION DE LA INSTALACION DE SOFTWARE,,2026-06-11,Fernando/ Carlos Noguera,,,REALIZADO,
GALENO,RELEVAMIENTOS EQUIPOS DE MUDANZA,VARIOS,2026-06-11,Junior,,,REALIZADO,
TALLER,REPARACION CARGADOR DE FLAT PANNEL,FLAT PANNEL,2026-06-11,Carlos Fernandez,,,REALIZADO,
IRUPE PY,LUQUE: 1 TOMA DE MUESTRA,TOMA PCB,2026-06-11,José,,,REALIZADO,
FERIADO PAZ DEL CHACO,,,2026-06-12,,,,REALIZADO,
AGROLATINA,MP 3 Y CALIF 2 HPLC,HPLC,15 AL 19 DE JUNIO ,Zulma/Fernando,,,REALIZADO,
CHDS,INSTALAR AOC30i NUEVO,AOC,15 AL 19 DE JUNIO,Zulma/Fernando,,,REALIZADO,
CHDS,MANT CORRECTIVO 3 EQUIPOS FLUCTUAN LA PRESION,HPLC,15 AL 19 DE JUNIO,Zulma/Fernando,,,REALIZADO,
TIMAC,MP 1 UV Y ENTREGAR REGULADOR DE ACETILENO,UV,15 AL 19 DE JUNIO,Junior,,S07867 Y S06381,REALIZADO,
FUSQUIM,CALIF TOC,TOC,2026-06-15,Jaime/Carlos,,,REALIZADO,
IRIS,CAMBIO DE REPUESTOS PARA GC-2010 Y GC-2030,GC,2026-06-15,Adan,,,REALIZADO,
QUIMFA,ERROR GC,GC,2026-06-16,Jaime/Carlos Noguera,,,REALIZADO,
IRUPE,LUQUE: TOMA DE MUESTRA 1 TRANSFORMADOR,TOMA,2026-06-16,José,,,REALIZADO,
TALLER,REVISAR PLACA DEL GC,GC,2026-09-16,Adan/Sebastian,,,REALIZADO,
ANALÍTICA,CAMPANA EXTRACTORA: OLOR A QUEMADO,CAMPANA,2026-06-16,Sebastián/José,,,REALIZADO,
DIGESA,LLEVAR PLACA DEL AA-7000,AA -7000,2026-06-17,Jaime,,,REALIZADO,
TECNOMYL,HPLC 6: NO FUNCIONA CON EL METODO DE GRADIENTE,HPLC,2026-06-17,Carlos,,,REALIZADO,
ANALITICA,MP DEL PHMETRO Y AUTOCLAVE,VARIOS,2026-06-17,José/ Sebastián,,,REALIZADO,
